source,username,rating,review_text,date
com.instagram.android,Kholid Kholid,5,sangatt bagusss,2026-01-10 15:58:56
com.instagram.android,Adil Padillah,5,okehh,2026-01-10 15:58:17
com.instagram.android,Dika Andika,4,bagus bener tapi suka buat kesel juga,2026-01-10 15:55:16
com.instagram.android,Inces Cantik,5,Bermanfaat untuk digunakan yang baik',2026-01-10 15:44:21
com.instagram.android,hafidz alief perdana (alwyy),1,"KEHEDD AII SIAA NIAT TEUU KOPLOKK NYIEUN INSTAGRAM TEHH BLOON PISANN AHH,AING NGA POLBEK GE MENI T BISA IEU WATIR MANG EUY AWW AING GS NUNUNGGUAN DI POLBEKK,CIK ATUH AH BALEG EUY IG TEH,MANYAA KUDUU DI DATANGAN KADINYA KU AINGG?? SOK HYG KUMAHA AYEUNA ANJ,EK PAPANGHIH DI PERTENGAHAN ATAU AING NU KADINYA? JAWAB SATEH",2026-01-10 15:38:27
com.instagram.android,Aji Saputra,5,bagus,2026-01-10 15:34:40
com.instagram.android,Rico Saputra,1,tolong benerin lagi banyak bug nya buat vc kamera sering terjeda filter ngak bisa di gunakan kadang mati mati sendiri,2026-01-10 15:22:50
com.instagram.android,Sahal Waburok,5,baguss apk nyaa,2026-01-10 15:12:17
com.instagram.android,UltraTech 135,5,"Instagram membuat saya dapat berkoneksi dengan teman teman, terimakasih META!",2026-01-10 15:11:59
com.instagram.android,Monnow,1,"WOI IG KATA NAIRA, LIRIK LAGU KOK PADA DI HAPUS SEMUA. MASA YA MUSIK SEKEREN ITU KAGAK ADA LIRIK. INI JUGA PLAYLIST HIDUP BANYAK TOLONG DONG CATATAN LEBIH DARI 1 MINIMAL 5 SEHARI. MAU PAMER HIDUP TOLONG LAH YA DI PERBAIKI",2026-01-10 14:57:31
com.instagram.android,Salwa Maulidina Amalia,5,"apknya bagus deh pokoknya, siapa juga yang tahu ya kan....",2026-01-10 14:51:10
com.instagram.android,AMD87,5,"Selama saya download mulai th 2019 - 2026 ,bagus cuman sedikit bug TPI jarang ,selebihnya manteb full",2026-01-10 14:46:19
com.instagram.android,Dhen Latip,5,bagus,2026-01-10 14:43:57
com.instagram.android,Afrizal Suhaibi,5,seruuuuuuuu,2026-01-10 14:36:31
com.instagram.android,Agaarya28,2,"akun saya kok ga ada vitur live nya lg ya min,padahal dulu masih bisa,tiba² sekarang ga ada,pengaruh folowers?ada temen saya yg folowersny di bawah saya tapi bisa live,sedang kn saya ga bsa",2026-01-10 14:31:56
com.instagram.android,All Motovlog,5,bagus,2026-01-10 14:28:11
com.instagram.android,Zaki Zaki,1,"kenapa sih ini ig,sering bngt hrs uninstal trus instal lagi,tolong di perbaiki sistem'y dong...😔",2026-01-10 14:25:20
com.instagram.android,Barkah Ponco,5,mantoll mantap betoll,2026-01-10 14:15:24
com.instagram.android,David Antonio,2,akun ig sya tiba2 diblokir tnpa penjelesan yg jelas tlong dikembalikn lah pdhl sya gak melakukn yg melanggar aneh bngt nih apps..,2026-01-10 14:07:59
com.instagram.android,andi arman,5,semoga di kasi centang biru oleh instagram heheheh,2026-01-10 14:05:50
com.instagram.android,Nir Wana,4,bagus,2026-01-10 14:03:57
com.instagram.android,Farihatul Muawanah,5,"suka banget sama Instagram apalagi sering ada update terbaru yang bikin seruuu,,dan bisa mengabadikan moment moment",2026-01-10 13:59:18
com.instagram.android,Norazira Norazira,5,gacor bosss,2026-01-10 13:58:25
com.instagram.android,Ellis Nurhanie,5,🥰😍🤗👍👍👍,2026-01-10 13:55:15
com.instagram.android,patra bobbi,5,sangat seru,2026-01-10 13:55:14
com.instagram.android,wawan setiawan,5,bagus,2026-01-10 13:53:58
com.instagram.android,Sheva Mamantung,5,keren,2026-01-10 13:53:38
com.instagram.android,Medi Irmayanti,5,Bagus sekali,2026-01-10 13:46:53
com.instagram.android,H husuin,5,tolong tambah kan fitur api di Ig min,2026-01-10 13:40:38
com.instagram.android,Aan Aan,5,ok,2026-01-10 13:36:56
com.instagram.android,Abang Muhammad,5,bagus,2026-01-10 13:31:55
com.instagram.android,Rizky Darmawan,2,masa fitur panggilan gk bisa.. muncul notifikasi harus update.. pas udh di update tetep gk bisa jg...bug nya sangat mengganggu,2026-01-10 13:29:42
com.instagram.android,Halfa Abiyyu,1,"tolong jelaskan akun saya dinonaktifkan padahal saya memposting yg sudah benar menurut komunitas, saya membuka instagram hanya untuk scroll reels saja, dan itu akun lama saya yg sudah banyak kenangan disitu saya bertanya tolong jawab",2026-01-10 13:25:03
com.instagram.android,Rezafaujan 1,3,banyak di sg nya banyak iklan slot,2026-01-10 13:20:43
com.instagram.android,sun god nika,1,REELS INSTAGRAM BANYAK IKLAN JVD0L,2026-01-10 13:12:38
com.instagram.android,Ade Abdurrahman,5,sangat bagus untuk interaksi dan komunikasi mengenal banyak teman,2026-01-10 13:06:50
com.instagram.android,Syarif Hidayat,5,oke sihhh👍🏻,2026-01-10 13:04:25
com.instagram.android,Najwa Shulhy,1,kecewa dengan instagram karena main hapus akun,2026-01-10 12:53:57
com.instagram.android,PsyCho,5,thank ig,2026-01-10 12:48:37
com.instagram.android,Rahmat Alkadi,5,good,2026-01-10 12:48:04
com.instagram.android,Onyong BL01,5,bagus sangat membantuku,2026-01-10 12:47:54
com.instagram.android,hendra mochamad destrada,1,Gak mau masuk terus kesel,2026-01-10 12:46:42
com.instagram.android,Angkasa Network,5,bagus,2026-01-10 12:46:18
com.instagram.android,Keysa Bilbou,4,berguna,2026-01-10 12:41:06
com.instagram.android,Muhammad Rizky ramadhan,1,"apalah ig sekarang gabisa buat foto2/selfi pakai filter, filter dulu2 pada bagus malah tiba2 hilang. tolong perbaiki lagi",2026-01-10 12:39:02
com.instagram.android,Naura Vivo,4,apk nya udh bagus pke banget bangett bangett tapi tolong dong adain fitur bikin streak,2026-01-10 12:37:53
com.instagram.android,WAHYU EKO YULIANTO,5,aplikasi yang sangat saya nantikan,2026-01-10 12:34:52
com.instagram.android,Andre Marvel,1,semua akun Instagram saya kena suspended,2026-01-10 12:32:44
com.instagram.android,Muhammad Utsman,5,goddddddbanget,2026-01-10 12:28:33
com.instagram.android,Gracia Simangunsong,5,Bangus bangettt,2026-01-10 12:26:33
com.instagram.android,Jimi Yermias,1,Instragram anj saya punya akun hilang hilang terus ini kenapa? benci sa ?,2026-01-10 12:18:37
com.instagram.android,ARDIANSYAH MEGA,5,Ok,2026-01-10 12:14:53
